,Unnamed: 0,Shoe_Name,Category,Colour,Shoe_Price,Style_code,Count_Size,Colour1,Colour2,Colour3,Colour4,Colour5,Review,Size,Comfort,Star_Rate,Durability
17,17,Nike Juniper Trail 2 GORE-TEX,Women Waterproof Trail-Running Shoes,2,10295.0,FB2067-001,13,Black,White,,,,23,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13",Highly Comfortable,4.7,"Cables integrate with the laces for a secure feel, specifically in the midfoot, while the inner sleeve wraps your midfoot for a sock-like fit"
18,18,Nike Pegasus 40 By You,Custom Men,5,14995.0,FB2382-900,16,Grey,Black,Green,Red,Yellow,0,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",,0.0,Choose between toggle or traditional laces The heel area optimises the landing space and improves transition and durability
19,19,Nike Revolution 7,Men,4,3695.0,FN7999-001,9,Grey,Black,White,Red,,1,"3.5, 4,4.5,5,5.5,6,6.5,7,7.5",Highly Comfortable,5.0,We added puffs to the heel that are visible on the outside of the shoe. Theyre soft to the touch and help add comfort to your Achilles. Touch points on the tongue create a natural feel as you take off
20,20,Suede Classic XXI SneakersPuma Black-Puma White,Puma Mens,2,6228.0,374915_01,18,Puma Black,Puma White,,,,421,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Comfortable sockliner,4.0,Full suede upper with synthetic lining
21,21,Suede Classic XXI SneakersPuma Black-Puma Black,Puma Mens,2,6228.0,374915_02,18,Puma Black,Puma Black,,,,421,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Comfortable sockliner,4.0,Comfortable sockliner
22,22,Suede Classic XXI SneakersPeacoat-Puma White,Puma Mens,1,6228.0,374915_12,16,Puma White,,,,,421,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",Comfortable sockliner,4.0,Classic low-rise silhouette
23,23,Suede Classic XXI SneakersSteel Gray-Puma White,Puma Mens,2,6228.0,374915_07,18,Steel Gray,Puma White,,,,421,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Comfortable sockliner,4.0,Comfortable sockliner
24,24,Suede Classic XXI SneakersHigh Risk Red-Puma White,Puma Mens,2,6228.0,374915_02,18,High Risk Red,Puma White,,,,421,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Comfortable sockliner,4.0,PUMA Formstrip on medial and lateral sides
25,25,Suede Classic XXI SneakersCabernet-Puma White,Puma Mens,1,6228.0,374915_06,18,Puma White,,,,,421,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",,4.0,PUMA Formstrip on medial and lateral sides
26,26,Suede Classic XXI SneakersHoney Mustard-Puma White,Puma Mens,2,6228.0,374915_05,20,Honey Mustard,Puma White,,,,421,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",,4.0,Full suede upper with synthetic lining
27,27,Suede Classic XXI SneakersGray Violet-Puma White,Puma Mens,2,6228.0,374915_03,14,Gray Violet,Puma White,,,,421,"4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12",Highly Comfortable,4.0,Comfortable sockliner
28,28,Suede Classic XXI Sneakers Big KidsPuma Black-Puma White,Puma Mens,1,4982.4,380560_01,7,Black,Puma White,,,,421,"4.5,5,5.5,6,6.5,7",Highly Comfortable,5.0,Classic low-rise silhouette
29,29,Suede Classic XXI Little Kids' ShoesPuma Black-Puma White,Women,1,4567.2,380561_01,13,Black,Puma White,,,,10,"1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5",Highly Comfortable,5.0,Rubber outsole
30,30,Basket Classic XXI Men's SneakersPuma White-Puma Black,Men's SneakersPuma,2,6228.0,374923_02,19,Puma White,Puma Black,,,,42,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",,3.7,Comfortable sockliner
31,31,CA Pro Classic SneakersPuma Black,Puma Mens,1,6643.2,381983_01,11,CA Pro Classic SneakersPuma Black,,,,,55,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",Highly Comfortable,4.3,PUMA Formstrip on medial and lateral sides
32,32,Suede Classic XXI Little Kids' ShoesHigh Risk Red-Puma White,Women,1,4567.2,380561_02,13,High Risk Red,Puma White,,,,10,"3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5",Highly Comfortable,5.0,Full suede upper with synthetic lining
33,33,Mayze Women's SneakersPuma White-Puma Black,Mayze Women's Sneaker,2,7473.6,373438_01,12,Puma White,Puma Black,,,,104,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",Highly Comfortable,4.7,Comfortable sockliner
34,34,Cali Wedge Women's SneakersPuma White-Puma White,Women's SneakersPuma,2,7473.6,380190_02,14,Puma White,Puma White,,,,55,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Highly Comfortable,4.0,Classic low-rise silhouette
35,35,Basket Classic XXI Men's SneakersPuma Black-Puma Black,Men's Sneakers,2,6228.0,374923_03,19,Puma Black,Puma Black,,,,42,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Highly Comfortable,4.0,Rubber outsole
36,36,Basket Classic XXI Men's SneakersPuma White-Puma White,Men's SneakersPuma,2,6228.0,374923_01,19,Puma White,Puma White,,,,42,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",,4.0,Comfortable sockliner
37,37,Roma Classic Gum SneakersPuma White-Puma Team Gold,Puma Mens,1,5812.8,366408_02,18,White-Puma Team Gold,,,,,36,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Highly Comfortable,4.0,Full suede upper with synthetic lining
38,38,Roma Classic Gum SneakersPuma Black-Puma Team Gold,Puma Mens,1,5812.8,366408_01,17,Black-Puma Team Gold,,,,,36,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",,4.0,Comfortable sockliner
39,39,Cali Wedge Women's SneakersPuma Black-Puma White,Women's SneakersPuma,2,7473.6,373438_02,12,Puma Black,Puma White,,,,24,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",Highly Comfortable,4.7,Classic low-rise silhouette
40,40,Women’s Minx™ Shorty III Boot,Women’s Minx™ Shorty III Boot,2,4567.2,1803151,12,"Oxford Tan, Fawn","Light Sand, Marionberry",,,,1663,5/5.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Very Comfortable,4.5,"Warm, waterproof, and stylish."
41,41,Women's Firecamp™ Boot,Women's Firecamp™ Boot,2,6847.4784,1800311,12,"Black, Plum Purple","Graphite, Faded Sky",,,,536,5.5/6/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Not Comfortable,4.5,Insulated and waterproof.
42,42,Men’s Fairbanks™ Omni-Heat™ Boot,Men’s Fairbanks™ Omni-Heat™ Boot,2,5978.88,1803121,14,"Nori, Persimmon","Ti Grey Steel, Grey Ice",,,,1443,5/5.5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Very Comfortable,4.5,Effortlessly warm.
43,43,Women’s Minx™ Mid III Boot,Women’s Minx™ Mid III Boot,2,3736.8,1746011,10,"Elk, Rusty","Graphite, Dark Moss","Black, Cordovan",,,1424,7.5/8/8.5/10.5/11/11.5/12/13/14/15,Very Comfortable,4.4,"Take on mud, slush, and rain in this waterproof-breathable boot featuring toasty thermal-reflective lining, a comfortable cushioned midsole, and an advanced traction outsole for uneven terrain."
44,44,Men's Bugaboot™ III Boot,Men's Bugaboot™ III Boot,2,4982.4,1791221,15,"Black, Bright Red",,,,,791,7/7.5/8/8.5/9/9.5/10/10.5/11/11.5/12/13/14/15/16,Very Comfortable,4.5,"Warm, waterproof, and protective, this legacy boot is built for winter. Lightweight insulation, midsole cushioning, and an advanced traction outsole carry you through rain and slush with ease."
45,45,Women's Moritza Shield™ Omni-Heat™ Boot,Women's Moritza Shield™ Omni-Heat™ Boot,2,4484.16,2053391,14,"Fawn, Canvas Tan","Elk, River Blue","Sedona Sage, Beetroot","Black, Graphite",,44,5/5.5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Very Comfortable,4.6,"A durable, go-anywhere boot that takes on rain and slush with ease. Thermal-reflective lining retains heat, while waterproof-breathable tech and a grippy outsole prepare you for any terrain."
46,46,Women’s Newton Ridge™ Plus Waterproof Amped Hiking Boot,Women’s Newton Ridge™ Plus Waterproof Amped Hiking Boot,2,8719.2,1672881,11,"Ti Grey Steel, Graphite","Black, City Grey","Collegiate Navy, Bright Copper",,,952,8/9/9.5/10/10.5/11/11.5/12/13/14/15,Very Comfortable,4.5,"Kick some trail in this waterproof-breathable insulated boot that’s ready for winter adventure. With responsive midsole cushioning and a grippy outsole, you’ll be sure-footed on any terrain."
47,47,Men's Firecamp™ Boot,Men's Firecamp™ Boot,2,6847.4784,1718821,13,"Timber, Cinder",,,,,3062,5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Very Comfortable,4.7,"With classic mountaineering style, this iconic hiker features waterproof-breathable seam-sealed construction, a light midsole for lasting comfort, and an all-terrain outsole. No wonder it’s a best seller."
48,48,Men's Gunnison™ II Omni-Heat™ Boot,Men's Gunnison™ II Omni-Heat™ Boot,2,6228.0,1746012,11,"Elk, Rusty",,,,,1424,7/7.5/8/8.5/9.5/10/10.5/11.5/12/13/14,Very Comfortable,4.4,"Take on mud, slush, and rain in this waterproof-breathable boot featuring toasty thermal-reflective lining, a comfortable cushioned midsole, and an advanced traction outsole for uneven terrain."
49,49,Men’s Newton Ridge™ Plus II Waterproof Hiking Boot,Men’s Newton Ridge™ Plus II Waterproof Hiking Boot,2,6228.0,1594731,11,"Elk, Black","Graphite, Black",,,,1451,7/8/8.5/9/9.5/11.5/12/13/14/16/17,Very Comfortable,4.5,"With classic mountaineering style, this iconic hiker features waterproof-breathable seam-sealed construction, a light midsole for lasting comfort, and an all-terrain outsole. No wonder it’s a best seller."
50,50,Women’s Ice Maiden™ II Boot,Women’s Ice Maiden™ II Boot,2,6224.6784,1554171,14,"Elk, Black","Cordovan, Siberia",,,,2158,5/5.5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Very Comfortable,4.6,"A sure-footed, waterproof-breathable lace-up winter boot with cozy insulation, a cushioned insole for long-lasting comfort, and a luxe look. Take on the elements in style."
51,51,Men's Fairbanks™ Omni-Heat™ Boot - Wide,Men's Fairbanks™ Omni-Heat™ Boot - Wide,2,3321.6,1862291,12,"Cordovan, Dark Adobe","Black, Ti Grey Steel",,,,254,7/7.5/8/8.5/9/9.5/10/11/11.5/12/13/14,Not Comfortable,4.4,"This waterproof, insulated boot is perfect for slushy, wet, and cold conditions."
52,52,Men's Woodburn™ II Waterproof Omni-Heat™ Shoe,Men's Woodburn™ II Waterproof Omni-Heat™ Shoe,2,8096.4,1552991,7,"Black, Goldenrod","Cordovan, Garnet Red",,,,436,9/11/11.5/12/13/14/15/,Very Comfortable,4.4,"These are the lightweight, waterproof hiking shoes you can wear all day."
53,53,Men's Telluron™ Omni-Heat™ II Boot,Men's Telluron™ Omni-Heat™ II Boot,2,7470.2784,1950921,4,"Graphite, Delta",,,,,291,7/7.5/11.5/13,Very Comfortable,4.3,"A versatile mid-high boot built to perform and protect with a waterproof-breathable construction, grippy outsole, and light cushioned midsole that stays responsive with every step."
54,54,Women's Minx™ Shorty III Boot - Wide,Women's Minx™ Shorty III Boot - Wide,2,6477.12,2001431,14,"Basalt, Camel Brown",,,,,27,5/5.5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,0,4.3,"With cozy thermal-reflective lining, lightweight insulation, and rain-ready waterproof-breathability, this grippy winter boot takes you from sidewalk to trail with ease."
55,55,Men's Firecamp™ Fleece Lined Shoe,Men's Firecamp™ Fleece Lined Shoe,2,6224.6784,1803151,12,"Night Wave, Cedar","Light Sand, Marionberry","Oxford Tan, Fawn",,,1663,5/5.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Very Comfortable,4.5,"Warm, waterproof, and stylish. These sure-footed boots feature toasty thermal-reflective lining and a waterproof-breathable bootie, ensuring dry strides all winter long."
56,56,Women's Firecamp™ Fleece Lined Shoe,Women's Firecamp™ Fleece Lined Shoe,2,8096.4,1865231,14,"Graphite, Shasta","Black, White",,,,436,5/5.5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Very Comfortable,4.7,"Insulated and fleece lined, these shoes are winter winners."
57,57,Women's Fairhaven™ Slipper,Women's Fairhaven™ Slipper,2,2657.28,1998151,6,"Hawk, Elk",,,,,172,7/7.5/8/11.5/12/14,Very Comfortable,4.7,This cozy moccasin slipper with a rubber sole pairs well with hot cocoa and a crackling fire
58,58,Men's Fairhaven™ Slipper,Men's Fairhaven™ Slipper,2,3321.6,1928751,14,"Black, Titanium MHW",,,,,10,7/7.5/8/8.5/9/9.5/10/10.5/11/11.5/12/13/14/15,0,4.8,"A comfy, cushioned boot with thermal-reflective lining."
59,59,Women's Red Hills™ Omni-Heat™ Boot,Women's Red Hills™ Omni-Heat™ Boot,2,6228.0,1865011,1,"Dark Grey, Gold Amber","Black, Ti Grey Steel",,,,521,5/5.5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Very Comfortable,4.3,"Insulated and fleece lined, these shoes are winter winners."
60,60,Grey Sneakers for Men,Grey Sneakers for Men,3,2246.0,FGC0Z7045232A,1,GREY,BLACK,BLUE,,,0,44,PU,0.0,"Bright Woodsports branding adds a attractive appeal to this grey sneaker for men. Designed from polyurethane ,the sneaker features mesh detail on upper that keeps it breathable, is set on rubber/phylon arch supporting sole and has memory foam insole that takes the shape of your foot and provides maximum comfort."
61,61,Black high-top boots for women,Black high-top boots for women,2,3497.0,FLC0260T0642A,0,BLACK,DBLUE,,,,0,0,SYNTHETIC,0.0,"High-top boots from Woodsport stand out with their knit detailing and contrast colour on eyelets. These black high ankle boots feature cushioned tongue that protects foot from lace pressure, knit construction in ankles, D-ring rust free metal eyelets and a comfortable and shock absorbing midsole and an outer sole with deep lugs on it."
62,62,Olive/black sneakers for men,Olive/black sneakers for men,1,2277.0,FGC0Y9032092A,0,OLIVE/BLACK,,,,,0,0,MESH PU,0.0,"Trendy pair of casual sneakers in olive and black are chic and comfortable. The modern sneakers feature mesh detail and come in a lace-up style, has round toe silhouette and outsole with lugs on it that gives the shoe an excellent tread. The versatile shoes also have pull tabs on rear, mild cushioning on collar and contrasting color detail with leather accents that adds to the aesthetics of the shoe."
63,63,Sand Sports Shoe for men,Sand Sports Shoe for men,2,4797.0,FGC0510S0052A,0,SAND,BLACK,,,,0,0,SUEDE,0.0,"A breathable and compression fit upper adds to the comfort and street-chic style of a sporty sneaker that is set on a durable outsole with moderate traction on it. The sand sporty shoe comes in a suede finish, is set on a chunky sole with arched heel support, pull tabs on rear and Woodsports branding on sides."
64,64,Blue sneakers for men,Blue sneakers for men,3,2500.0,FGC0H40U8422A,1,BLUE,GREY,BLACK,,,0,44,FABRIC,0.0,"Mid high-top sneakers in blue are made from breathable fabric and come in a lace-up style. The chunky sole is comfortable to wear all day long, cushioned collars and the tongue provide comfort and protect feet from lace pressure."
65,65,Light purple casual sneaker for women,Light purple casual sneaker for women,2,3497.0,FLC0DY0T7832A,0,LPURPLE,BEIGE,,,,0,0,SUEDE MESH,0.0,"Light purple trendy and sporty casual sneaker in lace-up style is built from breathable suede mesh upper. Featuring a contoured chunky outsole, pull tabs on rear and cushioned collar. The casual sneakers are ideal for walks through cities and park."
66,66,Grey/Green Sports Shoe for men,Grey/Green Sports Shoe for men,2,4797.0,FGC0EM0S0162A,2,GREY/GREEN,GREY/GREEN,,,,0,44/45,SUEDE FABRIC,0.0,"Sporty detailing adds comfort to this casual and lightweight, all-activity sneaker that has multi color detail on fabric upper. The casual shoe for men features cushioned collar and tongue, arched heel support, pull tabs on rear, Woodsports branding on sides and suede accents that enhance its appearance."
67,67,Navy Slip-on shoe for men,Navy Slip-on shoe for men,3,1606.0,FGC0Z7041632A,3,NAVY,GREY,WHITE,,,0,40/41/42,PU,0.0,"A must-have for your casual wardrobe, this navy slip-on shoe is never going out of style. The shoe has polyurethane upper, is set on EVA outsole and has rubberized EVA sock insole that adds to the comfort of the shoe."
68,68,Navy Slip-on shoes,Navy Slip-on shoes,2,1797.0,FGC0Y9037602A,0,NAVY,BLACK,,,,0,0,MESH PU,0.0,"Engineered for comfort, this navy slip-on shoe frames every step in breathable stability. The slip-on shoe is set on arched heel, rubber & phylon outsole and mesh with foam insole that adds to the comfort. Present on the shoe is side gorings that makes it easy to wear and remove the shoe with comfort."
69,69,Navy Casual sneaker for men,Navy Casual sneaker for men,1,3497.0,FGC0DY0T7772A,0,NAVY,,,,,0,0,SUEDE MESH,0.0,"Lightweight, low-top sporty shoes by Woods sports in navy comes in a lace-loop pattern and a wear resistant suede upper. The sneakers are set on a chunky white sole has lugs that gives moderate traction on all surfaces and arched heel that adds to the support. Cushioned ankles and tongue provide support to ankles and protect your feet from lace pressure respectively. Mesh lining on the shoe keeps the shoes ventilated and your feet dry."
70,70,Dgrey Slip-on Shoe for Men,Dgrey Slip-on Shoe for Men,2,2096.0,FGC0Y9039142A,4,DGREY,BLACK,,,,0,40/41/42/44,MESH PU,0.0,"Lightweight dgrey slip-on shoe has mesh PU upper that keeps this shoe breathable and is set on a contoured EVA outsole. The slip-on shoe for men features rear pull tab, compression knit collar, and memory foam insole."
71,71,Blue/Grey Sneaker for men,Blue/Grey Sneaker for men,3,1677.0,FGC0Y9032782A,0,BLUE/GREY,BLUE,BRICK/GREY,,,0,0,MESH PU,0.0,"Lightweight blue/grey sneakers for men has a lace-up design is crafted out Mesh PU that makes the shoe breathable and ideal for summers. The sneaker by Woodsports is set on rubber/phylon outsole with moderate tread on it, making it ideal for casual walks through cities and parks and the fabric foam insole provides stability and comfort."
72,72,Beige sock knit sneaker,Beige sock knit sneaker,1,1500.0,FGC0DY0T7782A,2,GREY,,,,,0,44/45,SUEDE MESH,0.0,"Striking and comfortable sneaker in grey is made from durable suede and has mesh details on it. The lace-up shoes come in a round toe silhouette and are set on a chunky contoured outsole that gives arched heel support. The trendy shoes from woods sports also feature cushioned collars and tongue, pull tabs on rear and cushioned foot bed for comfort."
73,73,Grey/Pink sneakers for women,Grey/Pink sneakers for women,2,3497.0,FLC0260T0642A,0,BLACK,DBLUE,,,,0,0,SYNTHETIC,0.0,"High-top boots from Woodsport stand out with their knit detailing and contrast colour on eyelets. These black high ankle boots feature cushioned tongue that protects foot from lace pressure, knit construction in ankles, D-ring rust free metal eyelets and a comfortable and shock absorbing midsole and an outer sole with deep lugs on it."
74,74,Green casual sneaker for women,Green casual sneaker for women,1,1500.0,FGC0Y9032092A,0,OLIVE/BLACK,,,,,0,0,MESH PU,0.0,"Trendy pair of casual sneakers in olive and black are chic and comfortable. The modern sneakers feature mesh detail and come in a lace-up style, has round toe silhouette and outsole with lugs on it that gives the shoe an excellent tread. The versatile shoes also have pull tabs on rear, mild cushioning on collar and contrasting color detail with leather accents that adds to the aesthetics of the shoe."
75,75,Blue casual sneakers for men,Blue casual sneakers for men,4,2500.0,FGC0510S0052A,0,SAND,BLUE,BLACK,BEIGE,,0,0,SUEDE,0.0,"A breathable and compression fit upper adds to the comfort and street-chic style of a sporty sneaker that is set on a durable outsole with moderate traction on it. The sand sporty shoe comes in a suede finish, is set on a chunky sole with arched heel support, pull tabs on rear and Woodsports branding on sides."
76,76,Taupe Sports shoe for men,Taupe Sports shoe for men,1,4797.0,FGC0H40U8422A,1,BLUE,,,,,0,44,FABRIC,0.0,"Mid high-top sneakers in blue are made from breathable fabric and come in a lace-up style. The chunky sole is comfortable to wear all day long, cushioned collars and the tongue provide comfort and protect feet from lace pressure."
77,77,Black/Grey Sports Shoe for men,Black/Grey Sports Shoe for men,2,4797.0,FLC0DY0T7832A,0,LPURPLE,BEIGE,,,,0,0,SUEDE MESH,0.0,"Light purple trendy and sporty casual sneaker in lace-up style is built from breathable suede mesh upper. Featuring a contoured chunky outsole, pull tabs on rear and cushioned collar. The casual sneakers are ideal for walks through cities and park."
78,78,Olive Sneakers for men,Olive Sneakers for men,1,1871.0,FGC0EM0S0162A,2,GREY/GREEN,,,,,0,44/45,SUEDE FABRIC,0.0,"Sporty detailing adds comfort to this casual and lightweight, all-activity sneaker that has multi color detail on fabric upper. The casual shoe for men features cushioned collar and tongue, arched heel support, pull tabs on rear, Woodsports branding on sides and suede accents that enhance its appearance."
79,79,Grey sneakers for men,Grey sneakers for men,3,3997.0,FGC0Z7041632A,3,NAVY,GREY,WHITE,,,0,40/41/42,PU,0.0,"A must-have for your casual wardrobe, this navy slip-on shoe is never going out of style. The shoe has polyurethane upper, is set on EVA outsole and has rubberized EVA sock insole that adds to the comfort of the shoe."
80,80,Grey Sneakers for Men,Men originals,2,6499.5,EG4959,18,Core Black,Cloud White,,,,4856 reviews,3/3.5/4/4.5/5/5.5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,comfortable,4.8,perfect
81,81,Black high-top boots for women,originals,3,8999.0,GY9572,2,Cloud White,Cloud White,Gold Metallic,,,7027 reviews,6/8,comfortable,4.6,perfect
82,82,Olive/black sneakers for men,Women Lifestyle,1,4499.5,B75806,6,Clear Granite,,,,,7027 reviews,8/9/10/10.5/11/12,comfortable,4.8,perfect
83,83,Sand Sports Shoe for men,originals,4,10999.0,EG4958,18,Cloud White,Core Black,Cloud White,Pure White,,4856 reviews,3/3.5/4/4.5/5/5.5/6/6.5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,comfortable,4.8,perfect
84,84,Blue sneakers for men,originals,4,11999.0,BB5478,15,Collegiate Navy,White,Gold Metallic,Core Black,,19765 reviews,3/3.5/4/5/6/7/7.5/8/8.5/9/9.5/10/10.5/11/12,comfortable,4.8,perfect
85,85,Light purple casual sneaker for women,Men Skateboarding,7,3599.5,GW3848,10,Core Black,Cloud White,Core Black,Clear Granite,Collegiate Navy,823 reviews,6/7/7.5/8/8.5/9/9.5/10/11/12,comfortable,4.6,perfect
86,86,Grey/Green Sports Shoe for men,Men Running,7,11999.5,HQ1402,1,Wonder Red f22,Cloud White,Wonder Taupe S23,Core Black,White,115 reviews,6,comfortable,4.6,perfect
87,87,Navy Slip-on shoe for men,Men Running,3,4199.5,FX3632,6,Core Black,Cloud White,Core Black,,,376 reviews,6/7/8/9/10/11,comfortable,4.4,perfect
